model_idx,observed_node_ids,batch_size,T,ymin,ymax,"simu_time_jz (b=50, T=2500)",valid_trajectories_ratio,stable_trajectories_ratio,periodic_trajectories_ratio,reached_space_extent,n_covered_bins
10,"(2, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.89,0.0,[7624.6514   145.45444],9
10,"(2, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.88,0.0,[ 7624.6514 10604.652 ],28
10,"(3, 4)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.84,0.0,[ 1090.3645 11128.395 ],28
10,"(3, 5)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.92,0.0,[1090.3645  713.3813],9
10,"(3, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.93,0.0,[1090.3645   145.45444],9
10,"(3, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.92,0.0,[ 1090.3645 10604.652 ],28
10,"(4, 5)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.9,0.0,[11128.395    713.3813],20
10,"(4, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.91,0.0,[11128.395     145.45444],20
10,"(4, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.9,0.0,[11128.395 10604.652],48
10,"(5, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.99,0.0,[713.3813  145.45444],3
10,"(5, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.98,0.0,[  713.3813 10604.652 ],20
10,"(6, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.99,0.0,[  145.45444 10604.652  ],20
12,"(0, 1)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[32.48111  32.626698],28
12,"(0, 2)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[32.48111  30.457386],24
12,"(0, 3)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.48111 2303.4856 ],27
12,"(0, 4)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.48111 2313.228  ],27
12,"(0, 5)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.48111 2317.279  ],24
12,"(1, 2)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[32.626698 30.457386],26
12,"(1, 3)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.626698 2303.4856  ],28
12,"(1, 4)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.626698 2313.228   ],23
12,"(1, 5)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  32.626698 2317.279   ],25
12,"(2, 3)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  30.457386 2303.4856  ],25
12,"(2, 4)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  30.457386 2313.228   ],24
12,"(2, 5)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[  30.457386 2317.279   ],21
12,"(3, 4)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[2303.4856 2313.228 ],29
12,"(3, 5)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[2303.4856 2317.279 ],26
12,"(4, 5)",50,2500,"[0.0, 0.005642184522002935, 0.0, 0.0, 0.0, 0.0]","[654.8735961914062, 654.8703002929688, 654.869140625, 47373.31640625, 47373.421875, 47373.140625]",5.717015981674194,1.0,0.0,1.0,[2313.228 2317.279],25
26,"(0, 1)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036  1719.1819],33
26,"(0, 2)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036  1381.6005],30
26,"(0, 3)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036    215.86134],26
26,"(0, 4)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036      13.799471],38
26,"(0, 5)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[ 8780.036 10068.298],32
26,"(0, 6)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.99,0.0,[8780.036  1361.8727],27
26,"(0, 7)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036  2249.9102],38
26,"(0, 8)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036    204.93504],39
26,"(0, 9)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036      27.627092],29
26,"(0, 10)",50,2500,"[16.190404891967773, 0.2646194398403168, 0.0, 0.0, 0.0, 0.0, 0.6814078092575073, 0.0, 0.0, 0.0, 0.0]","[10000.0, 1000.0, 894.1165771484375, 189.89706420898438, 2.5548763275146484, 741.7020263671875, 2000.0, 416.5396728515625, 64.20114135742188, 17.253015518188477, 1634.1851806640625]",25.585262775421143,1.0,0.98,0.0,[8780.036  2958.7495],33
